python3.7 monte_carlo_integration.py 100 0 1 2> log.txt

-------------------------------------Points-------------------------------------
    0 - (  0.71621884,   0.51296943)
    1 - (  0.63622480,   0.40478200)
    2 - (  0.01891241,   0.00035768)
    3 - (  0.38851916,   0.15094714)
    4 - (  0.54732002,   0.29955921)
    5 - (  0.45061169,   0.20305090)
    6 - (  0.18831073,   0.03546093)
    7 - (  0.05641556,   0.00318272)
    8 - (  0.58650630,   0.34398964)
    9 - (  0.74154010,   0.54988172)
   10 - (  0.88655068,   0.78597210)
   11 - (  0.21664702,   0.04693593)
   12 - (  0.68700377,   0.47197418)
   13 - (  0.84178677,   0.70860497)
   14 - (  0.21935078,   0.04811477)
   15 - (  0.15236835,   0.02321611)
   16 - (  0.58475038,   0.34193300)
   17 - (  0.85472462,   0.73055417)
   18 - (  0.88861016,   0.78962801)
   19 - (  0.07744608,   0.00599790)
   20 - (  0.42657265,   0.18196422)
   21 - (  0.61189686,   0.37441776)
   22 - (  0.69559754,   0.48385594)
   23 - (  0.03603254,   0.00129834)
   24 - (  0.65926239,   0.43462691)
   25 - (  0.65340083,   0.42693264)
   26 - (  0.68650618,   0.47129073)
   27 - (  0.77853635,   0.60611885)
   28 - (  0.07641328,   0.00583899)
   29 - (  0.29669188,   0.08802607)
   30 - (  0.47795016,   0.22843635)
   31 - (  0.26853277,   0.07210985)
   32 - (  0.84063700,   0.70667056)
   33 - (  0.96812775,   0.93727135)
   34 - (  0.48079369,   0.23116257)
   35 - (  0.07469969,   0.00558004)
   36 - (  0.97097881,   0.94279985)
   37 - (  0.60698063,   0.36842549)
   38 - (  0.71694070,   0.51400396)
   39 - (  0.44581559,   0.19875154)
   40 - (  0.92534471,   0.85626283)
   41 - (  0.21312245,   0.04542118)
   42 - (  0.86271560,   0.74427821)
   43 - (  0.14829862,   0.02199248)
   44 - (  0.15463025,   0.02391051)
   45 - (  0.65292970,   0.42631720)
   46 - (  0.53553411,   0.28679678)
   47 - (  0.17423505,   0.03035785)
   48 - (  0.84344132,   0.71139326)
   49 - (  0.86287416,   0.74455181)
   50 - (  0.63635326,   0.40494547)
   51 - (  0.32408829,   0.10503322)
   52 - (  0.30186362,   0.09112164)
   53 - (  0.60206915,   0.36248726)
   54 - (  0.03943617,   0.00155521)
   55 - (  0.93865158,   0.88106678)
   56 - (  0.84746417,   0.71819553)
   57 - (  0.44508495,   0.19810061)
   58 - (  0.80916970,   0.65475560)
   59 - (  0.13568252,   0.01840975)
   60 - (  0.11366706,   0.01292020)
   61 - (  0.12386590,   0.01534276)
   62 - (  0.58227231,   0.33904104)
   63 - (  0.19902069,   0.03960923)
   64 - (  0.41358947,   0.17105625)
   65 - (  0.94796292,   0.89863370)
   66 - (  0.72678645,   0.52821855)
   67 - (  0.91627148,   0.83955342)
   68 - (  0.80088327,   0.64141401)
   69 - (  0.35956040,   0.12928368)
   70 - (  0.35432109,   0.12554343)
   71 - (  0.35368913,   0.12509600)
   72 - (  0.08419195,   0.00708828)
   73 - (  0.16508304,   0.02725241)
   74 - (  0.75376898,   0.56816767)
   75 - (  0.58323238,   0.34016001)
   76 - (  0.12094579,   0.01462788)
   77 - (  0.83784564,   0.70198531)
   78 - (  0.38304468,   0.14672322)
   79 - (  0.95539509,   0.91277978)
   80 - (  0.22421585,   0.05027275)
   81 - (  0.44127899,   0.19472715)
   82 - (  0.72299632,   0.52272368)
   83 - (  0.06657649,   0.00443243)
   84 - (  0.49628680,   0.24630059)
   85 - (  0.35973625,   0.12941017)
   86 - (  0.47788474,   0.22837382)
   87 - (  0.03727265,   0.00138925)
   88 - (  0.42117494,   0.17738833)
   89 - (  0.44980261,   0.20232239)
   90 - (  0.42792631,   0.18312093)
   91 - (  0.52136931,   0.27182596)
   92 - (  0.02930015,   0.00085850)
   93 - (  0.87804280,   0.77095916)
   94 - (  0.69550226,   0.48372339)
   95 - (  0.19191718,   0.03683221)
   96 - (  0.72921690,   0.53175728)
   97 - (  0.04589967,   0.00210678)
   98 - (  0.99591841,   0.99185347)
   99 - (  0.33493503,   0.11218147)
